CustomerKey,Full Name,MaritalStatus,Gender,YearlyIncome,TotalChildren,TotalChildren,KidsAtHome,EnglishOccupation,DateFirstPurchase,BirthDate,EducationLevel,DateFirstPurchase,Customer City
11039,Marc Martin,M,Male,30000,3,3,0,Clerical,07/02/2021,16/06/1954,Partial College,07/02/2021,Wollongong
11040,Jesse Murphy,M,Male,30000,0,0,0,Skilled Manual,03/04/2023,29/01/1983,Partial College,03/04/2023,Tacoma
11041,Amanda Carter,M,Female,60000,0,0,0,Skilled Manual,14/01/2023,15/04/1983,Partial College,14/01/2023,Glendale
11042,Megan Sanchez,M,Female,70000,0,0,0,Skilled Manual,21/01/2023,11/12/1982,Partial College,21/01/2023,Los Angeles
11043,Nathan Simmons,M,Male,60000,0,0,0,Skilled Manual,08/05/2023,23/08/1981,Partial College,08/05/2023,Glendale
11044,Adam Flores,M,Male,20000,2,2,1,Clerical,28/02/2021,21/11/1954,Partial High School,28/02/2021,Hervey Bay
11045,Leonard Nara,S,Male,30000,3,3,0,Skilled Manual,10/04/2023,16/11/1955,High School,10/04/2023,Matraville
11046,Christine Yuan,M,Female,30000,3,3,0,Skilled Manual,06/02/2021,19/09/1955,High School,06/02/2021,Lavender Bay
11047,Jaclyn Lu,M,Female,30000,3,3,0,Skilled Manual,03/02/2021,27/08/1955,High School,03/02/2021,Geelong
11048,Jeremy Powell,M,Male,30000,3,3,0,Skilled Manual,10/02/2021,21/05/1956,High School,10/02/2021,Sunbury
11049,Carol Rai,S,Female,40000,0,0,0,Clerical,09/03/2023,15/01/1986,Partial High School,09/03/2023,Chula Vista
11050,Alan Zheng,M,Male,30000,3,3,0,Skilled Manual,20/02/2021,06/03/1957,High School,20/02/2021,Hobart
11051,Daniel Johnson,S,Male,30000,3,3,0,Skilled Manual,29/12/2023,31/01/1957,High School,29/12/2023,Caloundra
11052,Heidi Lopez,S,Female,40000,2,2,0,Clerical,17/02/2021,03/02/1957,Partial College,17/02/2021,Matraville
11053,Ana Price,M,Female,60000,0,0,0,Skilled Manual,17/01/2023,17/02/1986,Partial College,17/01/2023,San Diego
11054,Deanna Munoz,M,Female,40000,2,2,0,Skilled Manual,03/02/2021,07/09/1957,Partial College,03/02/2021,Geelong
11055,Gilbert Raje,M,Male,40000,2,2,0,Skilled Manual,31/01/2021,02/09/1957,Partial College,31/01/2021,East Brisbane
11056,Michele Nath,M,Female,40000,3,3,0,Skilled Manual,26/02/2021,01/10/1958,Partial College,26/02/2021,Newcastle
11057,Carl Andersen,M,Male,70000,2,2,0,Management,22/02/2021,07/04/1970,Graduate Degree,22/02/2021,Lane Cove
11058,Marc Diaz,M,Male,80000,2,2,0,Skilled Manual,09/03/2021,23/04/1965,Partial College,09/03/2021,Findon
11059,Ashlee Andersen,S,Female,80000,2,2,0,Skilled Manual,18/02/2023,29/09/1959,Partial College,18/02/2023,Townsville
11060,Jon Zhou,M,Male,80000,2,2,0,Skilled Manual,19/03/2021,14/09/1959,Partial College,19/03/2021,Warrnambool
11061,Todd Gao,M,Male,80000,2,2,0,Skilled Manual,13/03/2021,20/02/1976,Partial College,13/03/2021,Gold Coast
11062,Noah Powell,M,Male,40000,0,0,0,Skilled Manual,07/01/2023,01/03/1981,High School,07/01/2023,Portland
11063,Angela Murphy,S,Female,40000,0,0,0,Skilled Manual,12/01/2023,04/10/1980,High School,12/01/2023,Redmond
11064,Chase Reed,M,Male,40000,0,0,0,Skilled Manual,25/01/2023,05/06/1981,High School,25/01/2023,Downey
11065,Jessica Henderson,M,Female,60000,0,0,0,Skilled Manual,10/02/2023,08/04/1979,Partial College,10/02/2023,La Jolla
11066,Grace Butler,M,Female,70000,0,0,0,Professional,31/05/2023,27/05/1979,Partial College,31/05/2023,Lebanon
11067,Caleb Carter,S,Male,60000,0,0,0,Professional,18/08/2023,25/03/1982,Partial College,18/08/2023,Port Orchard
11068,Tiffany Liang,S,Female,80000,2,2,0,Skilled Manual,30/04/2023,19/09/1966,High School,30/04/2023,Warrnambool
11069,Carolyn Navarro,S,Female,80000,2,2,0,Skilled Manual,17/04/2021,17/09/1966,High School,17/04/2021,Gold Coast
11070,Willie Raji,M,Male,80000,2,2,0,Skilled Manual,28/04/2021,02/10/1960,High School,28/04/2021,Sunbury
11071,Linda Serrano,S,Female,80000,2,2,0,Skilled Manual,01/03/2023,23/12/1960,High School,01/03/2023,Hawthorne
11072,Casey Luo,S,Female,80000,2,2,0,Skilled Manual,31/03/2021,05/08/1960,High School,31/03/2021,St. Leonards
11073,Amy Ye,S,Female,70000,2,2,0,Skilled Manual,23/03/2023,11/02/1962,High School,23/03/2023,Springwood
11074,Levi Arun,S,Male,70000,2,2,0,Skilled Manual,23/03/2023,25/02/1962,High School,23/03/2023,Cloverdale
11075,Felicia Jimenez,S,Female,80000,2,2,0,Professional,28/04/2021,16/05/1963,High School,28/04/2021,Bendigo
11076,Blake Anderson,S,Male,80000,2,2,0,Professional,21/04/2021,10/01/1963,High School,21/04/2021,Wollongong
11077,Leah Ye,S,Female,80000,2,2,0,Professional,15/04/2021,19/03/1963,High School,15/04/2021,Melton
11078,Gina Martin,S,Female,40000,0,0,0,Professional,15/02/2023,06/01/1985,High School,15/02/2023,Cliffside
11079,Donald Gonzalez,S,Male,160000,0,0,0,Management,15/03/2023,07/03/1970,Graduate Degree,15/03/2023,Geelong
11080,Damien Chander,M,Male,170000,0,0,0,Management,10/04/2021,13/01/1965,Graduate Degree,10/04/2021,Perth
11081,Savannah Baker,M,Female,120000,2,2,1,Management,12/02/2023,21/01/1972,Bachelors,12/02/2023,Concord
11082,Angela Butler,S,Female,130000,0,0,1,Management,22/01/2023,01/02/1972,Graduate Degree,22/01/2023,Fremont
11083,Alyssa Cox,M,Female,130000,0,0,1,Management,06/01/2023,11/03/1977,Graduate Degree,06/01/2023,Lincoln Acres
11084,Lucas Phillips,S,Male,80000,2,2,0,Skilled Manual,04/01/2023,12/03/1963,Partial High School,04/01/2023,Lebanon
11085,Emily Johnson,S,Female,60000,2,2,0,Professional,06/12/2023,16/01/1963,High School,06/12/2023,Newport Beach
11086,Ryan Brown,M,Male,70000,2,2,1,Professional,02/07/2023,22/06/1963,Partial College,02/07/2023,Santa Monica
11087,Tamara Liang,M,Female,70000,3,3,1,Professional,25/02/2023,02/04/1963,Partial College,25/02/2023,Chula Vista
11088,Hunter Davis,M,Male,80000,2,2,1,Management,13/01/2023,25/05/1963,Bachelors,13/01/2023,San Diego
11089,Abigail Price,S,Female,80000,2,2,1,Management,29/12/2022,05/08/1962,Bachelors,29/12/2022,Long Beach
11090,Trevor Bryant,S,Male,90000,2,2,0,Professional,07/08/2021,13/12/1968,Partial College,07/08/2021,Los Angeles
11091,Dalton Perez,M,Male,90000,2,2,0,Professional,29/01/2023,02/10/1962,Partial College,29/01/2023,Haney
11092,Cheryl Diaz,M,Female,90000,2,2,1,Professional,08/04/2021,02/11/1972,Bachelors,08/04/2021,East Brisbane
11093,Aimee He,M,Female,100000,0,0,0,Management,07/04/2021,06/09/1978,Graduate Degree,07/04/2021,Wollongong
11094,Cedric Ma,S,Male,70000,1,1,0,Skilled Manual,07/04/2023,29/09/1967,Partial College,07/04/2023,Cranbourne
11095,Chad Kumar,S,Male,70000,1,1,0,Skilled Manual,01/04/2021,29/02/1968,Partial College,01/04/2021,Port Macquarie
11096,Andrés Anand,M,Male,60000,1,1,0,Professional,11/04/2021,07/02/1968,Bachelors,11/04/2021,North Sydney
11097,Edwin Nara,M,Male,60000,1,1,0,Skilled Manual,04/04/2021,23/10/1972,Partial College,04/04/2021,Warrnambool
11098,Mallory Rubio,S,Female,60000,1,1,0,Skilled Manual,11/02/2023,29/10/1966,Partial College,11/02/2023,Rhodes
11099,Adam Ross,M,Male,60000,1,1,0,Professional,07/04/2021,05/09/1966,Bachelors,07/04/2021,Port Macquarie
11100,Latasha Navarro,S,Female,60000,1,1,0,Skilled Manual,16/04/2021,15/03/1966,Partial College,16/04/2021,Cloverdale
11101,Abby Sai,S,Female,70000,0,0,0,Professional,29/04/2021,05/11/1970,Bachelors,29/04/2021,Cranbourne
11102,Julia Nelson,S,Female,80000,5,5,1,Professional,16/07/2023,19/10/1970,Bachelors,16/07/2023,Sydney
11103,Cassie Chande,S,Female,70000,0,0,0,Professional,15/04/2021,12/04/1981,Bachelors,15/04/2021,Darlinghurst
11104,Edgar Sara,M,Male,70000,0,0,0,Professional,04/05/2021,08/03/1975,Bachelors,04/05/2021,Gold Coast
11105,Candace Fernandez,S,Female,70000,0,0,0,Professional,14/05/2021,27/06/1970,Bachelors,14/05/2021,Matraville
11106,Jessie Liu,S,Male,70000,0,0,0,Professional,18/05/2021,11/03/1970,Bachelors,18/05/2021,Warrnambool
11107,Bianca Lin,M,Female,90000,1,1,0,Professional,01/05/2021,04/03/1976,Bachelors,01/05/2021,St. Leonards
11108,Kari Alvarez,S,Female,70000,0,0,0,Professional,03/05/2021,10/01/1969,Bachelors,03/05/2021,Port Macquarie
11109,Ruben Kapoor,S,Male,70000,0,0,0,Professional,10/05/2021,30/04/1980,Bachelors,10/05/2021,South Melbourne
11110,Curtis Yang,M,Male,60000,1,1,0,Skilled Manual,01/05/2021,04/12/1967,Partial College,01/05/2021,Darlinghurst
11111,Meredith Gutierrez,M,Female,60000,1,1,0,Skilled Manual,20/05/2021,23/08/1967,Partial College,20/05/2021,Geelong
11112,Crystal Wang,M,Female,60000,1,1,0,Skilled Manual,25/05/2021,08/03/1968,Partial College,25/05/2021,Hervey Bay
11113,Micheal Blanco,M,Male,70000,5,5,1,Professional,01/02/2023,17/02/1973,Bachelors,01/02/2023,Perth
11114,Leslie Moreno,S,Female,70000,5,5,1,Skilled Manual,18/03/2023,25/11/1967,Partial College,18/03/2023,Rhodes
11115,Alvin Cai,M,Male,70000,5,5,1,Skilled Manual,10/02/2023,12/08/1967,Partial College,10/02/2023,St. Leonards
11116,Clinton Carlson,M,Male,70000,5,5,1,Skilled Manual,15/03/2023,02/04/1979,Partial College,15/03/2023,Sydney
11117,April Deng,M,Female,70000,5,5,1,Skilled Manual,06/05/2021,21/08/1966,Partial College,06/05/2021,Matraville
11118,Alvin Zeng,S,Male,80000,1,1,0,Skilled Manual,10/07/2023,31/12/1962,Partial College,10/07/2023,Lavender Bay
11119,Evan James,S,Male,30000,2,2,0,Clerical,03/02/2023,07/10/1940,Partial College,03/02/2023,Port Macquarie
11120,Beth Jiménez,S,Female,40000,2,2,0,Management,14/05/2021,06/02/1942,Bachelors,14/05/2021,Sydney
11121,Orlando Suarez,M,Male,70000,5,5,1,Skilled Manual,24/06/2023,18/05/1966,Partial College,24/06/2023,Newcastle
11122,Byron Vazquez,M,Male,70000,5,5,1,Skilled Manual,21/02/2023,30/09/1965,Partial College,21/02/2023,North Sydney
11123,Philip Alvarez,M,Male,70000,5,5,1,Skilled Manual,17/04/2023,18/12/1965,Partial College,17/04/2023,Sunbury
11124,Ross Jordan,S,Male,80000,1,1,0,Skilled Manual,05/05/2021,23/07/1968,Partial College,05/05/2021,Warrnambool
11125,Dana Navarro,S,Female,70000,1,1,0,Skilled Manual,31/01/2023,06/10/1961,Partial College,31/01/2023,Seaford
11126,Shaun Carson,M,Male,10000,2,2,1,Skilled Manual,28/05/2021,05/10/1954,High School,28/05/2021,North Ryde
11127,Jan Edwards,M,Female,40000,0,0,0,Skilled Manual,10/04/2023,19/04/1981,High School,10/04/2023,San Gabriel
11128,Samantha Long,M,Female,40000,0,0,0,Skilled Manual,19/06/2023,03/06/1981,High School,19/06/2023,Renton
11129,Julia Wright,S,Female,40000,0,0,0,Skilled Manual,06/08/2021,01/02/1981,High School,06/08/2021,Sedro Woolley
11130,Caroline Russell,M,Female,30000,0,0,0,Skilled Manual,09/12/2023,05/07/1985,High School,09/12/2023,Lebanon
11131,Amanda Rivera,M,Female,30000,0,0,0,Skilled Manual,18/10/2023,09/09/1985,High School,18/10/2023,Haney
11132,Melissa Richardson,S,Female,30000,0,0,0,Skilled Manual,09/04/2023,25/04/1986,High School,09/04/2023,Langford
11133,Angela Griffin,S,Female,30000,0,0,0,Clerical,30/12/2023,08/03/1986,Partial High School,30/12/2023,Lake Oswego
11134,Larry Townsend,S,Male,10000,5,5,0,Skilled Manual,03/05/2021,22/02/1957,High School,03/05/2021,Perth
11135,Marcus Harris,S,Male,30000,0,0,0,Clerical,18/04/2023,02/05/1985,Partial High School,18/04/2023,Burlingame
11136,Brianna Morgan,S,Female,40000,0,0,0,Skilled Manual,03/01/2023,24/04/1984,High School,03/01/2023,Metchosin
11137,Jasmine Taylor,M,Female,40000,0,0,0,Skilled Manual,31/07/2023,17/01/1984,High School,31/07/2023,Spokane
11138,Lauren Davis,M,Female,40000,0,0,0,Skilled Manual,19/09/2023,14/03/1984,High School,19/09/2023,Glendale
11139,Tanya Moreno,S,Female,30000,2,2,0,Clerical,14/09/2023,05/11/1949,Partial College,14/09/2023,Cloverdale
11140,Javier Alvarez,S,Male,30000,0,0,0,Clerical,19/03/2023,11/08/1982,Partial High School,19/03/2023,Burbank
11141,Nicole Ramirez,M,Female,40000,0,0,0,Skilled Manual,16/05/2023,19/12/1982,High School,16/05/2023,Daly City
11142,Eduardo Patterson,S,Male,40000,0,0,0,Skilled Manual,13/02/2023,11/02/1983,High School,13/02/2023,Langford
11143,Jonathan Henderson,M,Male,40000,0,0,0,Skilled Manual,15/06/2023,04/08/1982,High School,15/06/2023,Lakewood
11144,Edward Hernandez,S,Male,40000,0,0,0,Skilled Manual,25/01/2023,08/03/1985,High School,25/01/2023,Ballard
11145,Jasmine Coleman,S,Female,40000,0,0,0,Skilled Manual,25/01/2023,06/06/1985,High School,25/01/2023,Beaverton
11146,Karla Goel,S,Female,40000,2,2,0,Management,05/02/2023,22/02/1945,Bachelors,05/02/2023,Matraville
11147,Ernest Wu,M,Male,60000,2,2,0,Management,13/05/2021,04/08/1944,Graduate Degree,13/05/2021,Warrnambool
11148,Ross Vazquez,M,Male,40000,2,2,0,Management,07/03/2023,13/02/1947,Bachelors,07/03/2023,East Brisbane
11149,Theodore Gill,M,Male,40000,2,2,0,Management,04/06/2023,18/10/1946,Bachelors,04/06/2023,Hervey Bay
11150,Russell Shen,S,Male,40000,2,2,0,Management,27/03/2023,12/09/1946,Bachelors,27/03/2023,Sunbury
11151,Melinda Gill,S,Female,60000,2,2,0,Management,15/05/2021,25/08/1947,Graduate Degree,15/05/2021,Sydney
11152,James Williams,S,Male,40000,0,0,0,Skilled Manual,09/01/2023,09/07/1981,High School,09/01/2023,Puyallup
11153,Angela James,M,Female,40000,0,0,0,Skilled Manual,29/03/2023,21/12/1981,High School,29/03/2023,Renton
11154,Megan Walker,S,Female,40000,0,0,0,Skilled Manual,10/01/2023,18/02/1982,Partial College,10/01/2023,Woodburn
11155,Hunter Robinson,S,Male,40000,0,0,0,Skilled Manual,06/01/2023,25/07/1981,Partial College,06/01/2023,Burbank
11156,Maria Roberts,S,Female,40000,0,0,0,Skilled Manual,08/01/2023,06/08/1981,Partial College,08/01/2023,Lakewood
11157,Hannah Long,M,Female,40000,0,0,0,Skilled Manual,24/07/2023,08/12/1980,High School,24/07/2023,Tacoma
11158,Jason Wright,S,Male,40000,0,0,0,Skilled Manual,19/01/2023,06/04/1981,High School,19/01/2023,San Gabriel
11159,Brianna Hughes,S,Female,40000,0,0,0,Skilled Manual,08/09/2023,16/03/1981,High School,08/09/2023,Woodland Hills
11160,Maurice Tang,S,Male,40000,0,0,0,Skilled Manual,21/02/2023,08/07/1979,Partial College,21/02/2023,Concord
11161,Emily Wood,S,Female,40000,0,0,0,Skilled Manual,01/06/2023,20/10/1979,Partial College,01/06/2023,Concord
11162,Chase Cox,S,Male,40000,0,0,0,Skilled Manual,18/02/2023,02/09/1979,Partial College,18/02/2023,La Jolla
11163,Gabriel Wang,M,Male,40000,0,0,0,Skilled Manual,01/05/2023,18/06/1980,Partial College,01/05/2023,Spring Valley
11164,Devin Brooks,S,Male,40000,0,0,0,Skilled Manual,27/04/2023,02/11/1979,Partial College,27/04/2023,Torrance
11165,Jocelyn Alexander,M,Female,60000,0,0,0,Skilled Manual,25/05/2023,15/01/1979,Partial College,25/05/2023,Oakland
11166,Ashley Martinez,S,Female,70000,0,0,0,Skilled Manual,14/10/2023,22/10/1977,Partial College,14/10/2023,Olympia
11167,Jasmine Barnes,S,Female,80000,0,0,0,Management,07/01/2023,29/01/1978,Bachelors,07/01/2023,Issaquah
11168,David Rodriguez,S,Male,80000,0,0,0,Management,15/01/2023,12/11/1973,Bachelors,15/01/2023,Oakland
11169,Bryce Richardson,M,Male,90000,4,4,1,Management,26/05/2023,20/12/1973,Bachelors,26/05/2023,Coronado
11170,Carol Howard,M,Female,90000,4,4,1,Management,26/08/2023,04/08/1973,Bachelors,26/08/2023,Burien
11171,Jonathan Hill,S,Male,100000,1,1,0,Management,20/08/2021,05/10/1978,Bachelors,20/08/2021,Woodland Hills
11172,Gabrielle Adams,M,Female,100000,1,1,0,Management,03/05/2023,20/05/1973,Bachelors,03/05/2023,Lynnwood
11173,Sarah Thomas,S,Female,110000,0,0,0,Management,02/03/2023,28/02/1973,Graduate Degree,02/03/2023,W. Linn
11174,Nicholas Robinson,M,Male,110000,0,0,1,Management,13/07/2023,09/01/1973,Graduate Degree,13/07/2023,Los Angeles
11175,Luis Wang,S,Male,70000,0,0,0,Skilled Manual,28/08/2021,01/09/1968,Partial College,28/08/2021,Beverly Hills
11176,Mason Roberts,M,Male,90000,4,4,1,Management,02/02/2023,21/01/1979,Bachelors,02/02/2023,Haney
11177,Jose Flores,M,Male,110000,2,2,1,Management,29/03/2023,01/01/1948,Graduate Degree,29/03/2023,San Diego
11178,Nathan Johnson,M,Male,100000,2,2,1,Management,21/02/2023,20/08/1954,Graduate Degree,21/02/2023,Lakewood
11179,Molly Rodriguez,M,Female,120000,2,2,1,Management,12/03/2023,08/12/1959,Graduate Degree,12/03/2023,Beverly Hills
11180,April Anand,M,Female,160000,1,1,1,Management,17/03/2023,01/07/1948,Bachelors,17/03/2023,Chula Vista
11181,Devin Martin,M,Male,170000,2,2,1,Management,07/05/2023,01/02/1960,Graduate Degree,07/05/2023,Los Angeles
11182,Stephanie Torres,S,Female,70000,4,4,0,Management,28/08/2023,22/02/1950,Bachelors,28/08/2023,Sedro Woolley
11183,Jasmine Lee,S,Female,70000,4,4,0,Management,30/04/2023,12/01/1950,Bachelors,30/04/2023,Santa Cruz
11184,Meghan Hernandez,S,Female,70000,4,4,0,Management,10/08/2023,13/11/1955,Bachelors,10/08/2023,Concord
11185,Ashley Henderson,S,Female,70000,4,4,0,Management,21/02/2023,07/04/1950,Bachelors,21/02/2023,Metchosin
11186,Sarah Price,S,Female,70000,4,4,0,Management,18/10/2023,18/11/1949,Bachelors,18/10/2023,Palo Alto
11187,Jennifer Cooper,M,Female,60000,4,4,0,Management,03/04/2023,21/08/1949,Graduate Degree,03/04/2023,Burien
11188,Catherine Morris,M,Female,60000,4,4,0,Management,01/11/2023,06/03/1950,Graduate Degree,01/11/2023,San Gabriel
11189,Lawrence Blanco,S,Male,60000,4,4,0,Management,26/08/2021,12/01/1950,Graduate Degree,26/08/2021,Bellingham
11190,Carson Bryant,M,Male,70000,5,5,0,Management,28/08/2023,20/12/1949,Bachelors,28/08/2023,Beverly Hills
11191,Kristi Perez,S,Female,70000,5,5,0,Management,11/08/2021,17/06/1951,Bachelors,11/08/2021,Colma
11192,James Brown,M,Male,60000,4,4,0,Management,23/06/2023,13/03/1951,Bachelors,23/06/2023,Seattle
11193,Ian Gray,M,Male,60000,4,4,0,Management,25/02/2023,13/08/1950,Bachelors,25/02/2023,Woodburn
11194,Jacqueline Price,M,Female,60000,4,4,0,Management,13/03/2023,08/12/1950,Bachelors,13/03/2023,Palo Alto
11195,Megan Henderson,M,Female,60000,5,5,0,Management,14/04/2023,10/08/1951,Bachelors,14/04/2023,Renton
11196,Alfredo Romero,M,Male,60000,5,5,0,Management,03/03/2023,05/12/1951,Bachelors,03/03/2023,Beaverton
11197,Andrea Morris,M,Female,70000,3,3,1,Management,02/05/2023,16/12/1951,Bachelors,02/05/2023,Seattle
11198,Brooke Sanders,S,Female,70000,4,4,1,Management,05/02/2023,25/05/1952,Bachelors,05/02/2023,Santa Cruz
11199,Jacqueline Bennett,M,Female,70000,4,4,1,Management,18/03/2023,02/11/1957,Bachelors,18/03/2023,Burlingame
11200,Jason Griffin,M,Male,70000,4,4,1,Management,07/02/2023,21/05/1953,Bachelors,07/02/2023,Victoria
11201,Amanda Foster,M,Female,70000,4,4,1,Management,01/07/2023,14/02/1953,Bachelors,01/07/2023,Santa Monica
11202,Alexia Price,M,Female,80000,5,5,0,Management,15/09/2023,22/08/1958,Bachelors,15/09/2023,Lakewood
11203,Luis Diaz,M,Male,40000,2,2,1,Professional,20/02/2023,18/08/1959,High School,20/02/2023,Port Hammond
11204,Destiny Rivera,M,Female,40000,2,2,1,Professional,09/08/2023,29/11/1953,High School,09/08/2023,Beaverton
11205,Abby Fernandez,M,Female,40000,2,2,1,Professional,27/07/2023,21/01/1954,High School,27/07/2023,Burien
11206,Blake Flores,M,Male,60000,2,2,1,Professional,11/05/2023,24/03/1954,Partial College,11/05/2023,Lynnwood
11207,Danielle Cox,S,Female,60000,2,2,1,Professional,31/01/2023,16/01/1954,Partial College,31/01/2023,Renton
11208,Maria Reed,M,Female,60000,2,2,1,Management,04/03/2023,03/08/1953,Bachelors,04/03/2023,Glendale
11209,Allison Evans,M,Female,60000,2,2,1,Management,25/03/2023,12/07/1953,Bachelors,25/03/2023,Lincoln Acres
11210,Edward Wood,M,Male,70000,4,4,1,Professional,06/05/2023,06/12/1953,Partial College,06/05/2023,West Covina
11211,Samantha Russell,M,Female,40000,2,2,1,Professional,01/02/2023,08/10/1960,High School,01/02/2023,Haney
11212,Chloe Campbell,M,Female,40000,2,2,1,Professional,30/01/2023,05/05/1955,High School,30/01/2023,Metchosin
11213,Stephanie Murphy,S,Female,60000,2,2,1,Professional,28/03/2023,11/11/1954,Partial College,28/03/2023,Edmonds
11214,Charles Miller,S,Male,60000,2,2,1,Professional,14/08/2023,07/05/1955,Partial College,14/08/2023,Milwaukie
11215,Ana Perry,M,Female,40000,2,2,1,Skilled Manual,15/02/2023,17/06/1961,Partial High School,15/02/2023,Royal Oak
11216,Jasmine Torres,S,Female,60000,2,2,1,Professional,15/08/2021,17/11/1955,Partial College,15/08/2021,Portland
11217,Natalie Adams,S,Female,60000,2,2,1,Professional,10/08/2021,11/08/1955,Partial College,10/08/2021,Portland
11218,Olivia Brown,S,Female,60000,2,2,1,Professional,28/02/2023,07/09/1961,Partial College,28/02/2023,Tacoma
